Frequency (Hz)	Level (dB)
43.066406	-43.888271
86.132812	-42.686142
129.199219	-39.949783
172.265625	-36.196548
215.332031	-25.576042
258.398438	-27.901388
301.464844	-36.163494
344.531250	-39.939762
387.597656	-42.613403
430.664062	-42.395210
473.730469	-31.737206
516.796875	-43.072243
559.863281	-43.708366
602.929688	-46.990852
645.996094	-47.704559
689.062500	-45.417309
732.128906	-47.672012
775.195312	-46.450943
818.261719	-44.300579
861.328125	-41.097481
904.394531	-33.216106
947.460938	-26.366310
990.527344	-38.589611
1033.593750	-43.586670
1076.660156	-45.928223
1119.726562	-46.584888
1162.792969	-47.455242
1205.859375	-49.371693
1248.925781	-50.476768
1291.992188	-50.069923
1335.058594	-48.140575
1378.125000	-39.804390
1421.191406	-37.762909
1464.257812	-45.960629
1507.324219	-47.523384
1550.390625	-48.754745
1593.457031	-48.511879
1636.523438	-48.089256
1679.589844	-47.140377
1722.656250	-45.489002
1765.722656	-42.690903
1808.789062	-38.255104
1851.855469	-27.461641
1894.921875	-30.306002
1937.988281	-38.154453
1981.054688	-42.076530
2024.121094	-43.239555
2067.187500	-46.892132
2110.253906	-45.037544
2153.320312	-49.746151
2196.386719	-50.513935
2239.453125	-50.224533
2282.519531	-47.708481
2325.585938	-36.650539
2368.652344	-42.483585
2411.718750	-48.705078
2454.785156	-51.566566
2497.851562	-53.333900
2540.917969	-52.350090
2583.984375	-45.937313
2627.050781	-52.733738
2670.117188	-49.633701
2713.183594	-44.749382
2756.250000	-46.002472
2799.316406	-42.010883
2842.382812	-49.274620
2885.449219	-53.620064
2928.515625	-54.659660
2971.582031	-54.805714
3014.648438	-52.209621
3057.714844	-43.444592
3100.781250	-45.739849
3143.847656	-49.700390
3186.914062	-52.405067
3229.980469	-51.713993
3273.046875	-38.715462
3316.113281	-46.167702
3359.179688	-52.151615
3402.246094	-54.578411
3445.312500	-53.755611
3488.378906	-52.209286
3531.445312	-51.501015
3574.511719	-51.890034
3617.578125	-52.797501
3660.644531	-51.818760
3703.710938	-51.323547
3746.777344	-37.801579
3789.843750	-45.599476
3832.910156	-51.710499
3875.976562	-50.622467
3919.042969	-53.029045
3962.109375	-52.393661
4005.175781	-52.267929
4048.242188	-49.311859
4091.308594	-48.971272
4134.375000	-45.840809
4177.441406	-40.429440
4220.507812	-26.282759
4263.574219	-35.622108
4306.640625	-42.271267
4349.707031	-47.055832
4392.773438	-48.649147
4435.839844	-48.003620
4478.906250	-48.779118
4521.972656	-50.644764
4565.039062	-53.791897
4608.105469	-51.928753
4651.171875	-50.284458
4694.238281	-43.952324
4737.304688	-46.885494
4780.371094	-52.077023
4823.437500	-56.186752
4866.503906	-58.029961
4909.570312	-55.814434
4952.636719	-54.442245
4995.703125	-54.204670
5038.769531	-57.679981
5081.835938	-56.942345
5124.902344	-54.879005
5167.968750	-45.660042
5211.035156	-46.491417
5254.101562	-54.295677
5297.167969	-56.634468
5340.234375	-57.124420
5383.300781	-56.943546
5426.367188	-56.579517
5469.433594	-55.286350
5512.500000	-55.160351
5555.566406	-52.598122
5598.632812	-49.201855
5641.699219	-41.421242
5684.765625	-34.870525
5727.832031	-46.912441
5770.898438	-52.505169
5813.964844	-55.152195
5857.031250	-57.881107
5900.097656	-59.916142
5943.164062	-58.169968
5986.230469	-57.373257
6029.296875	-57.996445
6072.363281	-59.674339
6115.429688	-55.252014
6158.496094	-37.092896
6201.562500	-53.354855
6244.628906	-59.166351
6287.695312	-57.881573
6330.761719	-56.769547
6373.828125	-51.930176
6416.894531	-48.864277
6459.960938	-52.697819
6503.027344	-53.847549
6546.093750	-56.280510
6589.160156	-52.409035
6632.226562	-37.417858
6675.292969	-46.056843
6718.359375	-52.813232
6761.425781	-55.696163
6804.492188	-51.176056
6847.558594	-48.079556
6890.625000	-47.362915
6933.691406	-47.461224
6976.757812	-51.647964
7019.824219	-52.717613
7062.890625	-53.340248
7105.957031	-56.278442
7149.023438	-52.177658
7192.089844	-60.784008
7235.156250	-64.233345
7278.222656	-64.385895
7321.289062	-62.764336
7364.355469	-64.497643
7407.421875	-62.905930
7450.488281	-62.749409
7493.554688	-64.261192
7536.621094	-63.906677
7579.687500	-61.191757
7622.753906	-49.310341
7665.820312	-57.691147
7708.886719	-61.353809
7751.953125	-62.070530
7795.019531	-65.114204
7838.085938	-64.146538
